customer_id,month,mrr,country
C0001,2021-01-01,49,DE
C0001,2021-02-01,49,DE
C0001,2021-03-01,149,DE
C0001,2021-04-01,399,DE
C0001,2021-05-01,399,DE
C0001,2021-06-01,399,DE
C0001,2021-08-01,149,DE
C0001,2021-11-01,149,DE
C0001,2022-01-01,399,DE
C0001,2022-02-01,399,DE
C0001,2022-03-01,999,DE
C0001,2022-04-01,149,DE
C0001,2022-05-01,149,DE
C0001,2022-06-01,49,DE
C0001,2022-07-01,49,DE
C0001,2022-08-01,999,DE
C0001,2022-10-01,149,DE
C0001,2022-11-01,49,DE
C0001,2023-02-01,399,DE
C0001,2023-03-01,49,DE
C0001,2023-05-01,999,DE
C0001,2023-06-01,999,DE
C0001,2023-07-01,999,DE
C0001,2023-08-01,149,DE
C0001,2023-09-01,999,DE
C0001,2023-10-01,149,DE
C0001,2023-12-01,999,DE
C0002,2021-01-01,999,CA
C0002,2021-02-01,149,CA
C0002,2021-05-01,999,CA
C0002,2021-06-01,999,CA
C0002,2021-07-01,149,CA
C0002,2021-09-01,399,CA
C0002,2021-10-01,149,CA
C0002,2021-11-01,49,CA
C0002,2021-12-01,149,CA
C0002,2022-03-01,999,CA
C0002,2022-04-01,149,CA
C0002,2022-05-01,49,CA
C0002,2022-06-01,49,CA
C0002,2022-08-01,49,CA
C0002,2022-10-01,49,CA
C0002,2023-01-01,999,CA
C0002,2023-02-01,999,CA
C0002,2023-03-01,999,CA
C0002,2023-04-01,149,CA
C0002,2023-05-01,49,CA
C0002,2023-06-01,49,CA
C0002,2023-07-01,999,CA
C0002,2023-09-01,999,CA
C0002,2023-10-01,149,CA
C0002,2023-11-01,399,CA
C0002,2023-12-01,999,CA
C0003,2021-01-01,399,GB
C0003,2021-02-01,49,GB
C0003,2021-03-01,999,GB
C0003,2021-05-01,49,GB
C0003,2021-06-01,399,GB
C0003,2021-07-01,149,GB
C0003,2021-08-01,399,GB
C0003,2021-09-01,149,GB
C0003,2021-11-01,399,GB
C0003,2021-12-01,399,GB
C0003,2022-01-01,49,GB
C0003,2022-02-01,999,GB
C0003,2022-04-01,49,GB
C0003,2022-05-01,999,GB
C0003,2022-06-01,999,GB
C0003,2022-07-01,49,GB
C0003,2022-08-01,149,GB
C0003,2022-09-01,399,GB
C0003,2022-10-01,49,GB
C0003,2022-11-01,999,GB
C0003,2022-12-01,399,GB
C0003,2023-02-01,49,GB
C0003,2023-03-01,49,GB
C0003,2023-04-01,999,GB
C0003,2023-05-01,49,GB
C0003,2023-06-01,149,GB
C0003,2023-07-01,999,GB
C0003,2023-08-01,49,GB
C0003,2023-09-01,49,GB
C0003,2023-11-01,399,GB
C0004,2021-03-01,399,CA
C0004,2021-04-01,999,CA
C0004,2021-05-01,149,CA
C0004,2021-06-01,399,CA
C0004,2021-09-01,399,CA
C0004,2021-10-01,49,CA
C0004,2021-11-01,399,CA
C0004,2021-12-01,49,CA
C0004,2022-01-01,999,CA
C0004,2022-02-01,999,CA
C0004,2022-03-01,149,CA
C0004,2022-05-01,999,CA
C0004,2022-06-01,49,CA
C0004,2022-08-01,149,CA
C0004,2022-09-01,399,CA
C0004,2022-10-01,399,CA
C0004,2023-01-01,399,CA
C0004,2023-02-01,149,CA
C0004,2023-03-01,399,CA
C0004,2023-05-01,149,CA
C0004,2023-07-01,399,CA
C0004,2023-08-01,999,CA
C0004,2023-09-01,49,CA
C0004,2023-10-01,399,CA
C0004,2023-11-01,999,CA
C0005,2021-01-01,49,CA
C0005,2021-02-01,999,CA
C0005,2021-04-01,149,CA
C0005,2021-05-01,49,CA
C0005,2021-06-01,999,CA
C0005,2021-07-01,149,CA
C0005,2021-08-01,999,CA
C0005,2021-09-01,49,CA
C0005,2021-10-01,49,CA
C0005,2021-11-01,149,CA
C0005,2021-12-01,149,CA
C0005,2022-01-01,149,CA
C0005,2022-02-01,999,CA
C0005,2022-04-01,399,CA
C0005,2022-05-01,149,CA
C0005,2022-06-01,49,CA
C0005,2022-08-01,999,CA
C0005,2022-09-01,999,CA
C0005,2022-10-01,399,CA
C0005,2022-12-01,149,CA
C0005,2023-01-01,49,CA
C0005,2023-02-01,49,CA
C0005,2023-03-01,49,CA
